Game_Number,Result,Turns
1,win,37
2,win,37
3,win,27
4,win,33
5,win,41
6,win,71
7,win,63
8,win,49
9,win,23
10,win,47
11,win,17
12,win,49
13,win,29
14,win,53
15,lose,398
16,win,31
17,win,45
18,win,31
19,win,91
20,win,101
21,win,33
22,win,29
23,win,27
24,win,35
25,win,63
26,win,43
27,win,81
28,win,69
29,lose,438
30,win,39
31,win,55
32,win,31
33,win,31
34,win,55
35,win,29
36,win,45
37,win,23
38,win,31
39,win,25
40,win,69
41,win,45
42,win,41
43,win,69
44,win,29
45,win,43
46,lose,396
47,win,31
48,win,61
49,lose,332
50,win,31
51,win,27
52,win,47
53,win,25
54,win,37
55,win,19
56,win,39
57,win,35
58,win,27
59,win,39
60,win,97
61,win,101
62,win,41
63,win,41
64,win,35
65,win,41
66,win,39
67,win,27
68,win,25
69,win,51
70,win,61
71,win,33
72,win,39
73,win,47
74,win,39
75,win,75
76,win,43
77,win,61
78,win,45
79,win,91
80,win,27
81,win,143
82,win,27
83,win,61
84,win,27
85,win,43
86,win,43
87,win,51
88,win,25
89,win,23
90,win,41
91,win,33
92,win,27
93,win,23
94,win,47
95,win,25
96,win,17
97,win,55
98,win,47
99,win,47
100,win,39
